rank,package,version,trustScore,confidence
490,@expo/config-plugins,57.0.6,79.3,95
491,type-fest,5.8.0,79.29,95
492,file-loader,6.2.0,79.28,95
493,@storybook/react,10.5.4,79.27,95
494,url-loader,4.1.1,79.26,95
495,@webpack-cli/serve,3.0.1,79.25,95
496,@webpack-cli/configtest,3.0.1,79.25,95
497,safe-buffer,5.2.1,79.14,95
498,assert-plus,1.0.0,79.1,95
499,stylis,4.4.0,79.09,95
500,@graphql-tools/batch-execute,10.0.9,79.06,95
501,expo-asset,57.0.7,79.05,95
502,bl,7.0.8,79.04,95
503,lodash.once,4.1.1,79.01,95
504,lodash.flatten,4.4.0,79.01,95
505,lodash.defaults,4.2.0,79.01,95
506,lodash.throttle,4.1.1,79.01,95
507,lodash.mapvalues,4.6.0,79.01,95
508,lodash.pick,4.4.0,79.01,95
509,@cypress/webpack-preprocessor,7.1.1,79.01,95
510,lodash.escape,4.0.1,79,95
511,react-beautiful-dnd,13.1.1,79,95
512,@react-native-community/eslint-config,3.2.0,79,95
513,jwks-rsa,4.1.0,79,95
514,@reduxjs/toolkit,2.12.0,78.98,95
515,vscode-languageserver-types,3.18.0,78.97,95
516,lodash.templatesettings,4.2.0,78.89,95
517,react-spring,10.0.4,78.88,95
518,lodash.isstring,4.0.1,78.86,95
519,lodash.isboolean,3.0.3,78.86,95
520,lodash.isnumber,3.0.3,78.86,95
521,debug,4.4.3,78.82,95
522,@protobufjs/base64,1.1.2,78.76,95
523,common-tags,1.8.2,78.75,95
524,react-popper,2.3.0,78.75,95
525,levelup,5.1.1,78.75,95
526,react-responsive,10.0.1,78.75,95
527,cacheable-lookup,7.0.0,78.75,95
528,reselect,5.2.0,78.73,95
529,@protobufjs/aspromise,1.1.2,78.72,95
530,on-headers,1.1.0,78.71,95
531,svgo,4.0.2,78.7,95
532,@protobufjs/pool,1.1.0,78.65,95
533,@testing-library/react,16.3.2,78.57,95
534,gcp-metadata,8.1.4,78.53,95
535,object-hash,3.0.0,78.5,95
536,clsx,2.1.1,78.5,95
537,isomorphic-fetch,3.0.0,78.5,95
538,react-fast-compare,3.2.2,78.5,95
539,duplexify,4.1.3,78.5,95
540,package-json,10.0.1,78.5,95
541,mdast-util-to-string,4.0.0,78.5,95
542,vue-class-component,7.2.6,78.49,95
543,eslint-import-resolver-node,0.4.0,78.47,95
544,ioredis,5.11.1,78.46,95
545,define-property,2.0.2,78.45,95
546,@react-native-firebase/app,25.1.0,78.43,95
547,events,3.3.0,78.38,95
548,unist-util-visit-parents,6.0.2,78.37,95
549,parseurl,1.3.3,78.32,95
550,webpack-dev-server,6.0.0,78.31,95
551,@react-aria/ssr,3.10.1,78.3,95
552,playwright-core,1.62.0,78.27,95
553,raw-loader,4.0.2,78.26,95
554,@cypress/webpack-dev-server,5.6.2,78.26,95
555,react-query,3.39.3,78.25,95
556,mongodb,7.5.0,78.25,95
557,react-app-rewired,2.2.1,78.25,95
558,react-day-picker,10.0.1,78.23,95
559,csstype,3.2.3,78.18,95
560,node-cache,5.1.2,78.18,95
561,thenify,3.3.1,78.17,95
562,socks-proxy-agent,10.1.0,78.15,95
563,ee-first,1.1.1,78.15,95
564,expo-file-system,57.0.1,78.15,95
565,expo-keep-awake,57.0.1,78.15,95
566,babel-plugin-dynamic-import-node,2.3.3,78.12,95
567,fraction.js,5.3.4,78.12,95
568,handle-thing,2.0.1,78.1,95
569,webdriverio,9.30.0,78.06,95
570,@protobufjs/utf8,1.1.2,78.03,95
571,@angular-devkit/build-angular,22.0.8,78.03,95
572,lodash.camelcase,4.3.0,78.01,95
573,lodash.flattendeep,4.4.0,78.01,95
574,lodash.kebabcase,4.1.1,78.01,95
575,lodash.snakecase,4.1.1,78.01,95
